date,tencmfcst_1_day,tencmfcst_2_day,tencmfcst_3_day,record_Id,record_Id_0
,,,,0,
2023-08-29,145,145,145,1,0
2023-08-28,144,144,142,2,0
2023-08-27,148,150,150,3,0
2023-08-26,135,140,140,4,0
2023-08-25,140,138,140,5,0
2023-08-24,145,145,150,6,0
2023-08-23,150,155,155,7,0
2023-08-22,150,155,160,8,0
2023-08-21,150,155,155,9,0
2023-08-20,153,153,155,10,0
2023-08-19,150,153,153,11,0
2023-08-18,150,152,155,12,0
2023-08-17,150,155,157,13,0
2023-08-16,160,160,160,14,0
2023-08-15,160,160,155,15,0
2023-08-14,155,150,150,16,0
2023-08-13,140,130,135,17,0
2023-08-12,145,140,130,18,0
2023-08-11,150,145,140,19,0
2023-08-10,150,150,145,20,0
2023-08-09,150,150,150,21,0
2023-08-08,155,150,150,22,0
2023-08-07,170,165,160,23,0
2023-08-06,168,166,164,24,0
2023-08-05,170,168,166,25,0
2023-08-04,165,162,164,26,0
2023-08-03,160,160,162,27,0
2023-08-02,170,165,160,28,0
2023-08-01,175,170,165,29,0
2023-07-31,175,175,170,30,0
2023-07-30,170,165,165,31,0
