date,afred_1_day,afred_2_day,afred_3_day,record_Id,record_Id_0
,,,,0,
2023-08-29,6,6,10,1,0
2023-08-28,8,6,6,2,0
2023-08-27,10,8,6,3,0
2023-08-26,9,10,8,4,0
2023-08-25,5,8,8,5,0
2023-08-24,8,5,7,6,0
2023-08-23,7,7,5,7,0
2023-08-22,8,7,7,8,0
2023-08-21,8,8,7,9,0
2023-08-20,8,8,8,10,0
2023-08-19,8,6,5,11,0
2023-08-18,10,8,6,12,0
2023-08-17,10,7,6,13,0
2023-08-16,14,10,7,14,0
2023-08-15,9,14,10,15,0
2023-08-14,6,9,14,16,0
2023-08-13,5,6,9,17,0
2023-08-12,5,5,6,18,0
2023-08-11,6,5,7,19,0
2023-08-10,6,6,5,20,0
2023-08-09,8,6,6,21,0
2023-08-08,14,8,6,22,0
2023-08-07,24,14,9,23,0
2023-08-06,9,14,9,24,0
2023-08-05,9,9,14,25,0
2023-08-04,20,13,9,26,0
2023-08-03,10,20,13,27,0
2023-08-02,9,13,20,28,0
2023-08-01,14,9,6,29,0
2023-07-31,23,14,9,30,0
2023-07-30,8,23,14,31,0
