observed_date,region,latitude,longitude,location,carrington_longitude,old_carrington_longitude,area,spot_class,extent,number_spots,mag_class,mag_string,status,c_xray_events,m_xray_events,x_xray_events,proton_events,s_flares,impulse_flares_1,impulse_flares_2,impulse_flares_3,impulse_flares_4,protons,c_flare_probability,m_flare_probability,x_flare_probability,proton_probability,first_date,record_Id,record_Id_0
2023-08-25,3414,-10,-23,S10W23,138,135,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-21T17:59:31,84,0
2023-08-25,3415,-9,35,S09E35,79,79,270,Dko,5,4,BD,,f,0,1,0,,0,1,0,0,0,0,50,10,1,1,2023-08-22T19:19:32,85,0
2023-08-25,3416,-19,71,S19E71,44,,30,Hsx,2,1,A,,f,1,0,0,,0,0,0,0,0,0,10,1,1,1,2023-08-25T16:48:41,86,0
2023-08-24,3404,-9,-71,S09W71,200,203,20,Bxo,2,3,B,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-13T21:58:28,87,0
2023-08-24,3405,9,-61,N09W61,189,189,140,Hsx,2,2,A,,f,2,0,0,,2,0,0,0,0,0,5,1,1,1,2023-08-14T18:42:41,88,0
2023-08-24,3407,-17,-97,S17W97,226,224,30,Hsx,2,1,A,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-15T10:10:05,89,0
2023-08-24,3411,13,-43,N13W43,171,169,50,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-17T15:49:07,90,0
2023-08-24,3412,10,-7,N10W07,136,133,60,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-18T17:47:24,91,0
2023-08-24,3413,11,33,N11E33,95,95,330,Eki,11,15,B,,f,1,0,0,,3,0,0,0,0,0,60,15,1,1,2023-08-21T09:24:33,92,0
2023-08-24,3414,-7,-7,S07W07,135,136,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-21T17:59:31,93,0
2023-08-24,3415,-9,49,S09E49,79,79,350,Dko,5,4,B,,f,0,0,0,,0,0,0,0,0,,35,10,5,1,2023-08-22T19:19:32,94,0
2023-08-23,3404,-11,-62,S11W62,203,202,10,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-13T21:58:28,95,0
2023-08-23,3405,10,-48,N10W48,189,188,130,Hsx,3,4,A,,f,1,0,0,,2,0,0,0,0,0,5,1,1,1,2023-08-14T18:42:41,96,0
2023-08-23,3407,-17,-83,S17W83,224,226,30,Hsx,2,1,A,,f,1,0,0,,0,0,0,0,0,0,5,1,1,1,2023-08-15T10:10:05,97,0
2023-08-23,3408,-18,-102,S18W0*,244,243,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-16T18:38:34,98,0
