time_tag,frequency,flux,reporting_schedule,avg_begin_date,ninety_day_mean,rec_count,record_Id,record_Id_0
2023-07-09T20:00:00,2800,179,Noon,2023-04-11T20:00:00,158,90,92,0
2023-07-09T17:00:00,2800,178,Morning,,,,93,0
2023-07-08T22:00:00,2800,162,Afternoon,,,,94,0
2023-07-08T20:00:00,2800,161,Noon,2023-04-10T20:00:00,157,90,95,0
2023-07-08T17:00:00,2800,161,Morning,,,,96,0
2023-07-07T22:00:00,2800,160,Afternoon,,,,97,0
2023-07-07T20:00:00,2800,161,Noon,2023-04-09T20:00:00,157,90,98,0
2023-07-07T17:00:00,2800,160,Morning,,,,99,0
2023-07-06T22:00:00,2800,158,Afternoon,,,,100,0
2023-07-06T20:00:00,2800,158,Noon,2023-04-08T20:00:00,157,90,101,0
2023-07-06T17:00:00,2800,155,Morning,,,,102,0
2023-07-05T22:00:00,2800,154,Afternoon,,,,103,0
2023-07-05T20:00:00,2800,154,Noon,2023-04-07T20:00:00,157,90,104,0
2023-07-05T17:00:00,2800,154,Morning,,,,105,0
2023-07-04T22:00:00,2800,163,Afternoon,,,,106,0
2023-07-04T20:00:00,2800,167,Noon,2023-04-06T20:00:00,156,90,107,0
2023-07-04T17:00:00,2800,164,Morning,,,,108,0
2023-07-03T22:00:00,2800,171,Afternoon,,,,109,0
2023-07-03T20:00:00,2800,173,Noon,2023-04-05T20:00:00,156,90,110,0
2023-07-03T17:00:00,2800,176,Morning,,,,111,0
2023-07-02T22:00:00,2800,207,Afternoon,,,,112,0
2023-07-02T20:00:00,2800,170,Noon,2023-04-04T20:00:00,156,90,113,0
2023-07-02T17:00:00,2800,174,Morning,,,,114,0
2023-07-01T22:00:00,2800,162,Afternoon,,,,115,0
2023-07-01T20:00:00,2800,166,Noon,2023-04-03T20:00:00,155,90,116,0
2023-07-01T17:00:00,2800,164,Morning,,,,117,0
2023-06-30T22:00:00,2800,160,Afternoon,,,,118,0
2023-06-30T20:00:00,2800,159,Noon,2023-04-02T20:00:00,155,90,119,0
2023-06-30T17:00:00,2800,161,Morning,,,,120,0
2023-06-29T22:00:00,2800,162,Afternoon,,,,121,0
2023-06-29T20:00:00,2800,162,Noon,2023-04-01T20:00:00,154,90,122,0
2023-06-29T17:00:00,2800,163,Morning,,,,123,0
