time_tag,active,source,proton_speed,proton_temperature,proton_density,proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm,proton_sample_size,alpha_speed,alpha_temperature,alpha_density,alpha_vx_gse,alpha_vy_gse,alpha_vz_gse,alpha_vx_gsm,alpha_vy_gsm,alpha_vz_gsm,alpha_sample_size,max_convergence_flag,max_data_flag,max_error_count_flag,max_processing_flag,max_range_flag,max_sample_count_flag,max_telemetry_flag,overall_quality,record_Id,record_Id_0
2023-08-15T05:46:00,false,DSCOVR,315.9,17622,8.17,-315.4,17.3,-0.7,-315.4,15.9,-6.8,13,,,,,,,,,,,0,0,0,0,0,0,0,0,32,0
2023-08-15T05:45:00,false,DSCOVR,316,17207,8.92,-315.4,18,-2.6,-315.4,15.9,-8.9,13,,,,,,,,,,,0,0,0,0,0,0,0,0,33,0
2023-08-15T05:45:00,true,ACE,321,29617,4.28,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,34,0
2023-08-15T05:44:00,true,ACE,320,27440,4.28,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,35,0
2023-08-15T05:44:00,false,DSCOVR,315.9,16934,8.99,-315.4,17,-2.5,-315.4,15.1,-8.4,11,,,,,,,,,,,0,0,0,0,0,0,0,0,36,0
2023-08-15T05:43:00,false,DSCOVR,316,16876,9.1,-315.5,17.2,-3,-315.5,15,-8.9,12,,,,,,,,,,,0,0,0,0,0,0,0,0,37,0
2023-08-15T05:43:00,true,ACE,320.4,28037,4.19,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,38,0
2023-08-15T05:42:00,false,DSCOVR,317.7,16955,8.78,-316.9,21.3,-3.7,-316.9,18.6,-11,10,,,,,,,,,,,0,0,0,0,0,0,0,0,39,0
2023-08-15T05:42:00,true,ACE,320.3,27384,4.07,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,40,0
2023-08-15T05:41:00,false,DSCOVR,315.6,17080,9.06,-315.2,17,-2,-315.2,15.2,-7.9,11,,,,,,,,,,,0,0,0,0,0,0,0,0,41,0
2023-08-15T05:41:00,true,ACE,319.3,30288,4.1,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,42,0
2023-08-15T05:40:00,true,ACE,318.8,34227,4.18,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,43,0
2023-08-15T05:40:00,false,DSCOVR,316.2,17247,8.99,-315.6,17.9,-2.2,-315.6,16,-8.4,13,,,,,,,,,,,0,0,0,0,0,0,0,0,44,0
2023-08-15T05:39:00,true,ACE,318.2,31673,4.62,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,45,0
2023-08-15T05:39:00,false,DSCOVR,316.5,17259,9.05,-315.9,19.2,0,-315.9,18,-6.7,11,,,,,,,,,,,0,0,0,0,0,0,0,0,46,0
2023-08-15T05:38:00,false,DSCOVR,315.7,17349,9.02,-315.2,17.6,-0.9,-315.2,16.2,-7,12,,,,,,,,,,,0,0,0,0,0,0,0,0,47,0
2023-08-15T05:38:00,true,ACE,317.9,26867,4.81,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,48,0
2023-08-15T05:37:00,false,DSCOVR,319.2,15482,8.6,-318.3,24.2,-1.6,-318.3,22.1,-10,12,,,,,,,,,,,0,0,0,0,0,0,0,0,49,0
2023-08-15T05:37:00,true,ACE,319.8,26128,3.73,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,50,0
2023-08-15T05:36:00,false,DSCOVR,315,17136,9.19,-314.4,19.7,0.4,-314.4,18.6,-6.5,12,,,,,,,,,,,0,0,0,0,0,0,0,0,51,0
2023-08-15T05:36:00,true,ACE,320.1,25551,3.8,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,52,0
2023-08-15T05:35:00,true,ACE,323.1,22895,3.72,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,53,0
