time-tag,f10.7,smoothed_f10.7,record_Id,record_Id_0
2020-06,69.7,73.2,189,0
2020-07,69.47,74,190,0
2020-08,71.66,74.3,191,0
2020-09,70.56,74.7,192,0
2020-10,74.59,75.2,193,0
2020-11,90.11,75.7,194,0
2020-12,87.28,76.4,195,0
2021-01,76.07,77.3,196,0
2021-02,74.32,78,197,0
2021-03,76.48,79,198,0
2021-04,74.74,80.3,199,0
2021-05,75.64,80.8,200,0
2021-06,79.81,81.3,201,0
2021-07,80.97,83.1,202,0
2021-08,77.93,85.7,203,0
2021-09,87.4,88.9,204,0
2021-10,90.05,93,205,0
2021-11,86.57,97.7,206,0
2021-12,102.94,101.7,207,0
2022-01,104.05,105,208,0
2022-02,109.15,108.6,209,0
2022-03,117.79,112.2,210,0
2022-04,130.63,116,211,0
2022-05,133.98,119.3,212,0
2022-06,116.07,122.7,213,0
2022-07,125.62,127.9,214,0
2022-08,118.13,133.8,215,0
2022-09,134.69,138.1,216,0
2022-10,132.84,140.4,217,0
2022-11,123.56,141.9,218,0
2022-12,148.46,144.8,219,0
2023-01,182.47,148.9,220,0
2023-02,172.09,-1,221,0
2023-03,157.53,-1,222,0
2023-04,145.86,-1,223,0
2023-05,156.04,-1,224,0
2023-06,162.39,-1,225,0
2023-07,177.53,-1,226,0
