time_tag,Obsdate,Obstime,Station,Observatory,Type,Quality,Region,Latitude,Report_Longitude,Longitude,Report_Location,Location,Carlon,Extent,Area,Numspot,Zurich,Penumbra,Compact,Spotclass,Magcode,Magclass,Obsid,Report_Status,ValidSpotClass,record_Id,record_Id_0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3392,9,-47,-49,N09W47,N09W49,43,3,70,5,3,3,2,Cao,2,B,309,2,1,29,0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3394,-23,20,18,S23E20,S23E18,336,11,280,14,3,5,2,Cko,2,B,312,2,1,30,0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3395,13,28,26,N13E28,N13E26,328,4,70,4,3,2,2,Cso,2,B,313,2,1,31,0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3396,19,8,6,N19E08,N19E06,348,3,10,3,2,0,2,Bxo,2,B,315,2,1,32,0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3397,18,53,51,N18E53,N18E51,303,3,20,2,2,0,2,Bxo,2,B,316,2,1,33,0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3398,-22,-41,-43,S22W41,S22W43,37,3,30,5,3,1,2,Cro,2,B,314,2,1,34,0
2023-08-07T05:05:00,2023-08-07T00:00:00,0505,16320,SVI,spt,3,3387,18,-62,-73,N18W62,N18W73,66,7,80,4,4,3,2,Dao,2,B,266,2,1,35,0
2023-08-07T05:05:00,2023-08-07T00:00:00,0505,16320,SVI,spt,3,3391,23,-28,-39,N23W28,N23W39,32,2,20,1,7,2,1,Hsx,1,A,271,2,1,36,0
2023-08-07T05:05:00,2023-08-07T00:00:00,0505,16320,SVI,spt,3,3392,8,-36,-47,N08W36,N08W47,40,4,20,4,3,3,2,Cao,2,B,274,2,1,37,0
2023-08-07T05:05:00,2023-08-07T00:00:00,0505,16320,SVI,spt,3,3394,-23,23,12,S23E23,S23E12,341,6,70,3,3,5,2,Cko,2,B,277,2,1,38,0
2023-08-07T05:05:00,2023-08-07T00:00:00,0505,16320,SVI,spt,3,3395,15,36,25,N15E36,N15E25,328,7,20,4,3,3,2,Cao,2,B,279,2,1,39,0
2023-08-07T05:05:00,2023-08-07T00:00:00,0505,16320,SVI,spt,3,3389,-16,-50,-61,S16W50,S16W61,54,0,0,2,2,0,2,Bxo,2,B,280,2,1,40,0
2023-08-07T05:05:00,2023-08-07T00:00:00,0505,16320,SVI,spt,3,,17,-8,-19,N17W08,N17W19,12,3,20,3,3,3,2,Cao,2,B,281,2,1,41,0
2023-08-07T05:05:00,2023-08-07T00:00:00,0505,16320,SVI,spt,3,,19,17,6,N19E17,N19E06,347,0,0,2,2,0,2,Bxo,2,B,282,2,1,42,0
2023-08-07T05:05:00,2023-08-07T00:00:00,0505,16320,SVI,spt,3,,18,61,50,N18E61,N18E50,303,0,0,1,1,0,1,Axx,1,A,283,2,1,43,0
2023-08-07T04:55:00,2023-08-07T00:00:00,0455,94302,LEA,spt,3,3387,19,-62,-73,N19W62,N19W73,66,5,80,2,4,3,2,Dao,2,B,244,2,1,44,0
2023-08-07T04:55:00,2023-08-07T00:00:00,0455,94302,LEA,spt,3,3392,9,-36,-48,N09W36,N09W48,40,3,70,4,7,2,1,Hsx,1,A,251,2,1,45,0
2023-08-07T04:55:00,2023-08-07T00:00:00,0455,94302,LEA,spt,3,3391,23,-28,-39,N23W28,N23W39,32,2,70,1,7,2,1,Hsx,1,A,248,2,1,46,0
2023-08-07T04:55:00,2023-08-07T00:00:00,0455,94302,LEA,spt,3,,19,-8,-19,N19W08,N19W19,12,1,10,1,1,0,1,Axx,1,A,252,2,1,47,0
2023-08-07T04:55:00,2023-08-07T00:00:00,0455,94302,LEA,spt,3,3396,19,17,6,N19E17,N19E06,347,3,20,2,2,0,2,Bxo,2,B,257,2,1,48,0
2023-08-07T04:55:00,2023-08-07T00:00:00,0455,94302,LEA,spt,3,3395,14,36,25,N14E36,N14E25,328,4,70,2,3,2,2,Cso,2,B,255,2,1,49,0
2023-08-07T04:55:00,2023-08-07T00:00:00,0455,94302,LEA,spt,3,3397,18,58,47,N18E58,N18E47,306,1,20,1,1,0,1,Axx,1,A,250,2,1,50,0
2023-08-07T04:55:00,2023-08-07T00:00:00,0455,94302,LEA,spt,3,3394,-23,22,11,S23E22,S23E11,342,5,200,3,3,2,2,Cso,2,B,254,2,1,51,0
2023-08-06T15:44:00,2023-08-06T00:00:00,1544,72269,HOL,spt,3,3386,11,-81,-86,N11W81,N11W86,92,3,180,3,4,3,2,Dao,2,B,300,2,1,52,0
2023-08-06T15:44:00,2023-08-06T00:00:00,1544,72269,HOL,spt,3,3387,24,-59,-64,N24W59,N24W64,70,5,130,12,4,3,2,Dao,2,B,301,2,1,53,0
2023-08-06T15:44:00,2023-08-06T00:00:00,1544,72269,HOL,spt,3,3388,-24,-66,-71,S24W66,S24W71,77,2,80,3,2,0,2,Bxo,2,B,311,2,1,54,0
2023-08-06T15:44:00,2023-08-06T00:00:00,1544,72269,HOL,spt,3,3391,24,-30,-35,N24W30,N24W35,41,2,100,5,7,3,1,Hax,1,A,307,2,1,55,0
2023-08-06T15:44:00,2023-08-06T00:00:00,1544,72269,HOL,spt,3,3392,10,-22,-27,N10W22,N10W27,33,4,180,16,7,3,1,Hax,1,A,309,2,1,56,0
2023-08-06T15:44:00,2023-08-06T00:00:00,1544,72269,HOL,spt,3,3394,-20,24,19,S20E24,S20E19,347,10,340,17,3,5,2,Cko,2,B,312,2,1,57,0
2023-08-06T15:44:00,2023-08-06T00:00:00,1544,72269,HOL,spt,3,3395,15,39,34,N15E39,N15E34,332,5,150,7,3,3,2,Cao,2,B,313,2,1,58,0
2023-08-06T15:44:00,2023-08-06T00:00:00,1544,72269,HOL,spt,3,,17,-7,-12,N17W07,N17W12,18,2,10,2,1,0,1,Axx,1,A,310,2,1,59,0
2023-08-06T15:44:00,2023-08-06T00:00:00,1544,72269,HOL,spt,3,,-9,-28,-33,S09W28,S09W33,39,1,10,2,1,0,1,Axx,1,A,317,2,1,60,0
2023-08-06T15:44:00,2023-08-06T00:00:00,1544,72269,HOL,spt,3,,-20,-28,-33,S20W28,S20W33,39,1,10,1,1,0,1,Axx,1,A,314,2,1,61,0
