time_tag,frequency,flux,reporting_schedule,avg_begin_date,ninety_day_mean,rec_count,record_Id,record_Id_0
2023-08-24T22:00:00,2800,147,Afternoon,,,,36,0
2023-08-24T20:00:00,2800,144,Noon,2023-05-27T20:00:00,166,90,37,0
2023-08-24T17:00:00,2800,144,Morning,,,,38,0
2023-08-23T22:00:00,2800,145,Afternoon,,,,39,0
2023-08-23T20:00:00,2800,147,Noon,2023-05-26T20:00:00,166,90,40,0
2023-08-23T17:00:00,2800,151,Morning,,,,41,0
2023-08-22T22:00:00,2800,165,Afternoon,,,,42,0
2023-08-22T20:00:00,2800,151,Noon,2023-05-25T20:00:00,166,90,43,0
2023-08-22T17:00:00,2800,151,Morning,,,,44,0
2023-08-21T22:00:00,2800,153,Afternoon,,,,45,0
2023-08-21T20:00:00,2800,149,Noon,2023-05-24T20:00:00,166,90,46,0
2023-08-21T17:00:00,2800,149,Morning,,,,47,0
2023-08-20T22:00:00,2800,146,Afternoon,,,,48,0
2023-08-20T20:00:00,2800,146,Noon,2023-05-23T20:00:00,166,90,49,0
2023-08-20T17:00:00,2800,145,Morning,,,,50,0
2023-08-19T22:00:00,2800,149,Afternoon,,,,51,0
2023-08-19T20:00:00,2800,151,Noon,2023-05-22T20:00:00,166,90,52,0
2023-08-19T17:00:00,2800,152,Morning,,,,53,0
2023-08-18T22:00:00,2800,149,Afternoon,,,,54,0
2023-08-18T20:00:00,2800,151,Noon,2023-05-21T20:00:00,166,90,55,0
2023-08-18T17:00:00,2800,148,Morning,,,,56,0
2023-08-17T22:00:00,2800,151,Afternoon,,,,57,0
2023-08-17T20:00:00,2800,152,Noon,2023-05-20T20:00:00,167,90,58,0
2023-08-17T17:00:00,2800,153,Morning,,,,59,0
2023-08-16T22:00:00,2800,161,Afternoon,,,,60,0
2023-08-16T20:00:00,2800,160,Noon,2023-05-19T20:00:00,167,90,61,0
2023-08-16T17:00:00,2800,161,Morning,,,,62,0
2023-08-15T22:00:00,2800,157,Afternoon,,,,63,0
2023-08-15T20:00:00,2800,158,Noon,2023-05-18T20:00:00,167,90,64,0
2023-08-15T17:00:00,2800,157,Morning,,,,65,0
2023-08-14T22:00:00,2800,154,Afternoon,,,,66,0
2023-08-14T20:00:00,2800,154,Noon,2023-05-17T20:00:00,166,90,67,0
2023-08-14T17:00:00,2800,153,Morning,,,,68,0
2023-08-13T22:00:00,2800,151,Afternoon,,,,69,0
2023-08-13T20:00:00,2800,150,Noon,2023-05-16T20:00:00,166,90,70,0
2023-08-13T17:00:00,2800,148,Morning,,,,71,0
2023-08-12T22:00:00,2800,149,Afternoon,,,,72,0
2023-08-12T20:00:00,2800,148,Noon,2023-05-15T20:00:00,166,90,73,0
2023-08-12T17:00:00,2800,146,Morning,,,,74,0
2023-08-11T22:00:00,2800,151,Afternoon,,,,75,0
2023-08-11T20:00:00,2800,153,Noon,2023-05-14T20:00:00,166,90,76,0
